Done,Date,Day_Type,Jeremy_Days,Lectures_Total_Hrs,Lectures,PT_Labs,Boson_Labs,Total_Est_Hrs
FALSE,09/18/2026,Friday,39,0.0,,,IP Services -> Configure DHCP for IPv4 Networks | IP Services -> Configure DHCP Relay for IPv4 Networks,1.7
FALSE,09/19/2026,Saturday,"39, 40, 41, 42",3.8,SNMP | Syslog | SSH,SNMP | Syslog,IP Services -> Implement DHCP | IP Services -> Boson CCNA Challenge Lab 4 | IP Services -> Explore Syslog Output | IP Services -> Explore and Configure Syslog Levels,5.9
FALSE,09/20/2026,Sunday,"42, 43, 44",2.0,FTP & TFTP | NAT (Part 1),SSH | FTP & TFTP | Static NAT,IP Services -> Configure SSH | IP Services -> Implement SSH | IP Services -> Explore and Configure TFTP | IP Services -> Explore and Configure FTP | IP Services -> Configure Static NAT,5.4
FALSE,09/21/2026,Monday,"44, 45",0.6,NAT (part 2),,IP Services -> Implement NAT,1.5
FALSE,09/22/2026,Tuesday,45,0.0,,Dynamic NAT,IP Services -> Configure Dynamic NAT | IP Services -> Configure PAT,2.0
FALSE,09/23/2026,Wednesday,46,0.7,QoS (Part 1),Voice VLANs,,1.7
FALSE,09/24/2026,Thursday,47,0.9,QoS (Part 2),QoS,,1.5
FALSE,09/25/2026,Friday,48,0.8,Security Fundamentals,Kali Linux Demo,Security Fundamentals -> Explore AAA,1.4
FALSE,09/26/2026,Saturday,"48, 49, 50",2.7,Port Security | DHCP Snooping,Port Security | DHCP Snooping,Security Fundamentals -> Boson CCNA Challenge Lab 5 | Security Fundamentals -> Explore and Configure Port Security | Security Fundamentals -> Implement Port Security | Security Fundamentals -> Troubleshoot Port Security,5.8
FALSE,09/27/2026,Sunday,"51, 52, 53, 54",4.2,Dynamic ARP Inspection | LAN Architectures | WAN Architectures | Virtualization & Cloud | Containers,Dynamic ARP Inspection | STP & FHRP Synchronization | GRE Tunnels,,5.9
FALSE,09/28/2026,Monday,"54, 55",1.1,VRF | Wireless Fundamentals,Oracle VirtualBox,,1.5
FALSE,09/29/2026,Tuesday,"56, 57",1.5,Wireless Architectures | Wireless Security,,,1.5
FALSE,09/30/2026,Wednesday,58,1.0,Wireless Configuration,Wireless LANs,,1.7
FALSE,10/01/2026,Thursday,"58, 59",0.7,Intro to Network Automation,,Network Access -> Configure a Wireless LAN by Using the WLC GUI,1.3
FALSE,10/02/2026,Friday,"59, 60",1.5,"AI & Machine Learning | JSON, XML, & YAML",,Automation and Programmability -> Obtain and Interpret JSON Output,1.8
FALSE,10/03/2026,Saturday,"61, 62, 63",2.8,"REST APIs | REST API Authentication | Software-Defined Networking | Ansible, Puppet, & Chef | Terraform",,"Automation and Programmability -> Explore HTTP Server Verbs | Automation and Programmability -> Compare a Traditional Network to a Controller-Based Network | Automation and Programmability -> Submit and Explore Ansible, Chef, and Puppet Queries",3.4
FALSE,10/04/2026,Sunday,Catch-up,0.0,,,Security Fundamentals -> Configure the Enable Password | Security Fundamentals -> Configure the Enable Secret Password | Security Fundamentals -> Configure Local User Accounts | Security Fundamentals -> Secure the Console and VTY Ports | Security Fundamentals -> Encrypt Passwords on a Cisco Device | Security Fundamentals -> Explore Password Complexity | Security Fundamentals -> Implement Passwords | Security Fundamentals -> Implement Local User Accounts | Network Fundamentals -> Implement IPv4 Addressing,5.8
FALSE,10/05/2026,Monday,Catch-up,0.0,,,Network Fundamentals -> Explore the MAC Address Table | IP Connectivity -> Manually Configure Default Routes on IPv4 Networks | IP Connectivity -> Manually Configure Network Routes on IPv4 Networks,1.7
FALSE,10/06/2026,Tuesday,Catch-up,0.0,,,IP Connectivity -> Manually Configure Host Routes on IPv4 Networks | IP Connectivity -> Implement Route Selection,1.3
FALSE,10/07/2026,Wednesday,Catch-up,0.0,,,IP Connectivity -> Implement Static and Default Routes,1.2
FALSE,10/08/2026,Thursday,Catch-up,0.0,,,Network Access -> Explore and Configure Switch Access Ports | Network Access -> Explore and Configure Switch Trunk Ports,2.0
FALSE,10/09/2026,Friday,Catch-up,0.0,,,Network Access -> Configure InterVLAN Routing | Network Access -> Explore the Native VLAN | Network Access -> Implement InterVLAN Routing,1.6
FALSE,10/10/2026,Saturday,Catch-up,0.0,,,Network Access -> Configure and Verify VTP | Network Access -> Boson CCNA Challenge Lab 2 | IP Connectivity -> Explore HSRP | IP Connectivity -> Explore VRRP | IP Connectivity -> Implement HSRP | IP Connectivity -> Implement VRRP,3.4
FALSE,10/11/2026,Sunday,64,0.0,,Complete Network Configuration,,3.3
